"species_name","phylo_clade","years_known","proliferation","caduceus","oospore_wall_index","chlamydospores","hyphal_swelling","root_disease","foliar_disease","oospores","gr_at_opt","temp_opt","temp_min","impact_geographic_extent","impact_host_range","impact_lat_max","n_trials"
"Phytophthora x alni","7",15,1,0,0.39,0,0,1,0,1,6.2,20,3,20,1,68.75015572,178
"Phytophthora x heterohybrida","7",3,1,1,0.43,0,1,1,0,1,7,25,5,1,0,23.7539928,178
"Phytophthora x incrassata","7",3,1,0,0.41,1,1,1,0,1,6,20,5,1,0,23.7539928,178
"Phytophthora x multiformis","7",15,1,0,0.4,0,0,1,0,1,6.4,20,3,6,1,62.77966519,178
"Phytophthora 'castitis'","8",6,0,0,NA,1,1,NA,NA,0,2.1,20,0,NA,NA,NA,178
"Phytophthora 'kelmania'","8",NA,1,0,0.4,0,1,NA,NA,1,7,25,3,NA,NA,49.7472,178
"Phytophthora 'parsley'","8",6,0,0,0.21,0,1,NA,NA,1,2,18,0,NA,NA,NA,178
"Phytophthora austrocedri","8",12,0,0,0.26,0,1,1,0,1,1.5,15,2,3,1,57.95405512,178
"Phytophthora brassicae","8",17,0,1,0.22,0,1,0,1,1,2.3,21,2,5,1,52.1007899,178
"Phytophthora cichorii","8",6,0,0,0.24,0,1,1,0,1,1.1,17,0,3,1,54.12387156,178
"Phytophthora cryptogea","8",100,1,0,0.54,0,1,1,0,1,6.5,25,3,43,49,68.75015572,178
"Phytophthora dauci","8",6,0,0,0.24,1,1,1,0,1,1,15,0,2,1,42.17344011,178
"Phytophthora drechsleri","8",88,1,0,0.51,0,1,1,0,1,NA,30,3,37,40,61.36206324,178
"Phytophthora erythroseptica","8",106,1,0,0.52,0,1,1,1,1,6.3,25,3,26,40,61.96285909,178
"Phytophthora foliorum","8",13,1,1,0.32,0,0,0,1,1,3.1,20,3,2,1,57.52813201,178
"Phytophthora hibernalis","8",94,0,1,0.55,0,0,0,1,1,NA,20,4,20,9,56.37425361,178
"Phytophthora lactucae","8",6,0,0,0.25,1,1,1,0,1,1.5,19,0,1,1,39.07469623,178
"Phytophthora lateralis","8",77,1,0,0.66,1,0,1,1,1,NA,21,3,10,2,61.36206324,178
"Phytophthora medicaginis","8",28,1,0,0.56,1,1,1,0,1,4.5,27.5,5,15,2,61.36206324,178
"Phytophthora obscura","8",7,0,0,0.41,0,1,0,1,1,4,23,2,2,2,51.10698181,178
"Phytophthora porri","8",88,0,0,0.2,1,1,1,1,1,NA,17,3,12,6,61.36206324,178
"Phytophthora primulae","8",67,0,0,0.22,0,1,1,0,1,NA,20,3,7,1,55.98125296,178
"Phytophthora pseudocryptogea","8",4,1,0,0.35,0,1,1,0,1,6.5,25,3,NA,NA,45.6795472,178
"Phytophthora pseudolactucae","8",4,0,0,0.45,1,1,0,1,1,3.2,22,3,1,NA,37.59230135,178
"Phytophthora ramorum","8",18,0,1,0.21,1,0,1,1,1,2.8,20,2,36,17,68.75015572,178
"Phytophthora sansomeana","8",10,1,0,0.24,0,1,1,0,1,7,27,3,4,2,61.36206324,178
"Phytophthora syringae","8",110,0,0,0.25,0,1,1,1,1,4.2,20,3,33,14,62.77966519,178
"Phytophthora trifolii","8",28,1,0,0.23,0,1,1,0,1,3,22,7,1,1,45.6795472,178
"Phytophthora 'prodigiosa'","9",2,1,0,NA,1,1,NA,NA,0,6,32,12,NA,NA,NA,178
"Phytophthora aquimorbida","9",7,1,0,0.51,1,1,1,1,1,5,30,7.5,1,0,45.6795472,178
"Phytophthora captiosa","9",13,1,0,0.28,0,0,0,1,1,5.3,22,2,2,1,41.81113557,178
"Phytophthora chrysanthemi","9",8,1,0,0.55,1,1,1,0,1,4.1,30,5,4,1,51.10698181,178
"Phytophthora constricta","9",8,1,0,0.36,0,0,1,0,1,6,22,5,1,2,25.73288704,178
"Phytophthora estuarina","9",3,1,0,NA,0,1,NA,NA,0,12,30,5,1,NA,10.78777702,178
"Phytophthora fallax","9",13,1,0,0.33,1,0,0,1,1,3.1,20,2,5,1,45.6795472,178
"Phytophthora hydrogena","9",5,1,0,0.26,0,1,0,0,1,7,30,10,1,0,45.6795472,178
"Phytophthora hydropathica","9",9,1,0,0.31,1,1,1,1,1,14,30,7.5,5,4,47.6,178
"Phytophthora insolita","9",39,1,0,0.38,0,1,0,1,1,NA,32,9,6,3,45.6795472,178
"Phytophthora irrigata","9",11,1,0,0.36,0,0,0,0,1,12,30,7.5,1,2,45.6795472,178
"Phytophthora macilentosa","9",5,1,0,0.25,0,1,NA,NA,1,5,30,7,1,NA,45.6795472,178
"Phytophthora macrochlamydospora","9",28,1,0,NA,1,1,1,0,0,NA,27,6,1,1,25.73288704,178
"Phytophthora parsiana","9",11,1,0,0.6,1,1,1,1,1,8,30,10,3,4,45.6795472,178
"Phytophthora polonica","9",13,1,0,0.36,1,1,1,0,1,7,30,5,3,1,52.12759564,178
"Phytophthora pseudopolonica","9",2,1,0,0.3,1,1,NA,NA,1,10,30,5,NA,NA,NA,178
"Phytophthora quininea","9",72,0,0,NA,0,1,1,0,1,NA,25,15,1,1,9.15280381,178
"Phytophthora rhizophorae","9",3,1,0,NA,0,1,NA,NA,0,14,30,5,1,NA,10.78777702,178
"Phytophthora richardiae","9",92,1,0,0.7,0,1,1,0,1,NA,24,10,3,5,54.12387156,178
"Phytophthora virginiana","9",6,1,0,NA,1,1,0,0,0,7.5,30,10,1,0,45.6795472,178
"Phytophthora boehmeriae","10",92,0,1,0.35,1,0,1,1,1,NA,25,6,12,4,39.07469623,178
"Phytophthora gallica","10",11,0,0,NA,1,1,1,0,0,2.1,21,4,5,2,62.77966519,178
"Phytophthora gondwanensis","10",4,0,0,0.47,0,1,NA,NA,1,5.5,27.5,5,1,NA,25.73288704,178
"Phytophthora intercalaris","10",3,1,0,0.3,1,1,0,0,1,3,27,6,2,NA,45.8839523,178
"Phytophthora kernoviae","10",14,0,1,0.68,0,0,0,1,1,4,18,4,5,5,56.90637525,178
"Phytophthora morindae","10",9,0,1,0.51,0,0,0,1,1,2.9,20,10,2,1,45.6795472,178
"Phytophthora 'ohioensis'","11",2,0,0,0.44,0,0,NA,NA,1,2.6,21,5,NA,NA,NA,178
"Phytophthora castanetorum","11",2,0,0,0.51,1,1,1,0,1,3.6,20,5,NA,NA,42.79662849,178
"Phytophthora quercina","11",20,0,0,0.49,1,1,1,0,1,4.3,22,5,18,1,62.77966519,178
"Phytophthora tubulina","11",2,0,0,0.38,0,1,1,0,1,2.8,20,5,NA,NA,47.58549439,178
"Phytophthora versiformis","11",2,0,0,0.46,0,1,0,0,1,2.2,20,4,NA,NA,25.73288704,178
"Phytophthora lilii","X",4,1,0,0.5,1,1,0,0,1,2.6,25,5,1,NA,37.59230135,178
"Phytophthora stricta","X",5,1,1,0.32,1,0,0,1,1,8,27.5,7,1,NA,45.6795472,178
